모델번호,키,몸무게,성별_F,성별_M
F076,158.4,50.8,True,False
F152,162.2,61.2,True,False
F444,159.7,65.1,True,False
F443,154.2,51.9,True,False
M230,161.3,64.4,False,True
M171,178.0,82.5,False,True
F464,169.2,65.4,True,False
M316,167.2,67.5,False,True
M178,168.5,59.5,False,True
M026,168.2,62.5,False,True
F415,153.7,50.7,True,False
F060,158.1,62.0,True,False
M232,172.4,74.2,False,True
F373,153.9,55.5,True,False
M102,173.6,84.6,False,True
M347,172.0,78.7,False,True
M405,167.1,78.3,False,True
M043,180.9,57.3,False,True
M211,178.9,68.1,False,True
M495,165.5,77.9,False,True
M201,162.5,69.2,False,True
M146,178.2,77.8,False,True
F043,153.6,49.8,True,False
F041,156.9,51.3,True,False
M407,171.2,68.1,False,True
F203,160.3,59.6,True,False
F325,158.3,64.3,True,False
M050,165.7,59.7,False,True
F246,159.6,59.9,True,False
F315,151.2,71.1,True,False
M462,167.3,69.3,False,True
M016,172.8,70.6,False,True
F120,160.7,52.5,True,False
M064,165.7,64.1,False,True
F088,154.5,61.0,True,False
M449,177.7,80.9,False,True
M403,174.6,83.3,False,True
F093,172.2,60.1,True,False
F226,162.9,54.7,True,False
M166,179.9,81.8,False,True
F353,161.1,61.4,True,False
M288,167.4,74.6,False,True
M160,166.0,60.7,False,True
F381,150.6,50.2,True,False
F011,160.8,52.7,True,False
F112,155.8,56.4,True,False
F376,166.1,70.1,True,False
M426,168.9,75.5,False,True
F270,158.8,45.2,True,False
F219,150.5,55.1,True,False
F277,150.8,52.9,True,False
F014,160.2,51.2,True,False
F065,160.4,71.6,True,False
M195,158.0,60.2,False,True
M374,167.5,67.3,False,True
M362,169.7,69.3,False,True
F450,153.2,55.0,True,False
F108,159.1,58.2,True,False
M112,166.7,71.8,False,True
F215,166.4,47.6,True,False
M019,165.9,65.4,False,True
M143,169.5,55.7,False,True
M460,175.2,65.6,False,True
M040,171.3,70.7,False,True
F458,162.2,66.0,True,False
M371,176.4,88.9,False,True
F035,150.9,50.5,True,False
F095,157.8,59.3,True,False
F019,157.1,50.5,True,False
F479,153.4,58.8,True,False
M282,175.8,75.5,False,True
F468,159.6,56.7,True,False
F370,161.7,74.1,True,False
M219,170.8,73.3,False,True
M051,175.6,67.4,False,True
M268,176.8,74.0,False,True
F258,151.6,55.8,True,False
F129,154.2,51.7,True,False
F355,167.8,53.0,True,False
F382,143.5,46.3,True,False
F261,159.0,59.8,True,False
F489,142.3,47.3,True,False
M020,177.0,63.2,False,True
F207,147.2,50.6,True,False
M111,167.9,65.5,False,True
F092,154.3,65.1,True,False
M318,172.1,57.8,False,True
F460,147.9,56.8,True,False
M126,174.4,81.4,False,True
F250,160.9,56.5,True,False
M439,165.0,67.8,False,True
F222,163.2,70.2,True,False
M418,161.7,66.9,False,True
M207,171.6,85.7,False,True
F434,157.1,48.6,True,False
F238,167.4,54.2,True,False
M358,178.6,63.6,False,True
F330,161.9,45.5,True,False
M301,168.3,67.8,False,True
F490,160.6,56.0,True,False
M216,177.0,85.1,False,True
M214,173.8,70.1,False,True
F453,157.9,64.0,True,False
M455,174.5,90.0,False,True
F357,164.2,55.1,True,False
F016,164.1,66.4,True,False
F166,158.1,51.3,True,False
M048,174.5,61.0,False,True
M204,170.9,77.2,False,True
M280,180.3,70.1,False,True
M152,172.9,67.4,False,True
M283,171.0,72.5,False,True
M473,173.4,65.1,False,True
M436,168.0,90.1,False,True
M262,170.2,80.7,False,True
M435,174.0,75.0,False,True
M243,165.5,55.6,False,True
M124,171.6,68.4,False,True
M089,171.7,58.8,False,True
M383,168.4,66.1,False,True
F433,159.5,57.2,True,False
M425,169.6,77.1,False,True
F239,151.8,60.0,True,False
F342,155.1,56.9,True,False
M234,173.8,71.5,False,True
F223,158.7,71.9,True,False
F090,157.2,49.6,True,False
F159,159.9,45.4,True,False
F312,158.2,51.4,True,False
F317,156.0,55.1,True,False
F491,156.0,45.6,True,False
F475,159.4,65.5,True,False
M487,162.1,61.4,False,True
M277,170.4,65.1,False,True
F144,151.8,54.8,True,False
M303,168.6,58.9,False,True
F321,160.0,50.0,True,False
M114,165.8,66.0,False,True
M237,168.0,94.3,False,True
F009,161.1,59.2,True,False
M326,174.6,71.2,False,True
M054,176.4,73.4,False,True
F334,154.6,42.2,True,False
M038,172.6,77.3,False,True
F461,155.9,41.8,True,False
F361,160.8,58.5,True,False
F183,169.1,57.1,True,False
F136,158.1,46.7,True,False
F391,157.9,58.6,True,False
F405,158.2,54.5,True,False
M404,174.7,83.7,False,True
F101,155.5,62.8,True,False
M440,162.1,61.2,False,True
F192,152.8,61.6,True,False
F285,164.6,63.0,True,False
M396,167.9,64.8,False,True
F080,160.7,71.2,True,False
F301,155.6,55.9,True,False
F142,153.3,64.0,True,False
F310,150.8,59.2,True,False
F409,157.3,56.1,True,False
F337,159.3,55.3,True,False
F155,153.4,53.1,True,False
M088,163.1,74.0,False,True
F146,161.3,64.5,True,False
M136,183.4,69.9,False,True
F175,161.0,54.7,True,False
F038,161.1,39.7,True,False
M069,171.4,84.5,False,True
F204,148.3,55.4,True,False
F393,153.7,61.5,True,False
M276,173.2,75.6,False,True
F180,159.1,58.8,True,False
M340,175.3,75.3,False,True
F151,163.1,54.1,True,False
F184,155.8,61.3,True,False
F015,160.5,45.6,True,False
M179,168.0,67.7,False,True
F462,163.2,56.0,True,False
F084,161.0,54.4,True,False
M189,179.5,66.4,False,True
M235,172.5,71.4,False,True
F249,154.7,51.8,True,False
F156,158.8,59.5,True,False
M297,171.0,70.1,False,True
F245,156.1,55.8,True,False
F231,158.9,52.3,True,False
F459,151.6,51.7,True,False
M053,173.0,70.5,False,True
F143,158.0,52.5,True,False
M491,170.2,73.8,False,True
M258,160.5,64.8,False,True
F196,158.4,53.1,True,False
F052,162.7,55.5,True,False
M117,172.1,64.2,False,True
F119,156.1,49.7,True,False
M278,169.2,76.4,False,True
F067,159.0,46.2,True,False
F392,162.5,54.3,True,False
F473,155.0,53.1,True,False
M209,175.4,78.1,False,True
F034,158.7,57.3,True,False
F431,148.8,60.2,True,False
M037,174.9,64.0,False,True
M125,162.3,70.2,False,True
M200,170.8,65.2,False,True
M427,177.3,80.7,False,True
F349,166.5,58.5,True,False
F062,159.4,70.7,True,False
M138,168.4,58.8,False,True
M014,172.7,78.9,False,True
M430,174.3,80.0,False,True
M139,169.2,70.2,False,True
F275,148.6,74.7,True,False
M197,177.5,72.4,False,True
M188,181.7,84.5,False,True
M369,174.3,63.8,False,True
M175,172.5,66.1,False,True
F027,163.2,58.5,True,False
M456,161.8,54.6,False,True
F467,157.6,58.9,True,False
M433,162.6,73.7,False,True
F435,161.6,58.7,True,False
F378,156.3,56.8,True,False
F094,162.5,58.0,True,False
F072,154.9,55.2,True,False
F422,163.2,51.2,True,False
F283,151.2,51.9,True,False
F296,164.7,54.6,True,False
F371,160.9,62.7,True,False
F365,158.7,63.0,True,False
F441,159.5,55.6,True,False
F289,153.7,58.4,True,False
F021,159.3,56.3,True,False
F193,158.9,49.1,True,False
F379,151.1,58.5,True,False
F477,166.6,53.5,True,False
M122,184.1,95.1,False,True
F234,152.2,47.0,True,False
M080,172.5,73.8,False,True
M240,169.2,77.5,False,True
M325,177.7,87.2,False,True
M009,174.4,81.5,False,True
M106,172.8,85.7,False,True
M116,172.6,73.8,False,True
F187,154.3,50.4,True,False
M172,177.4,67.5,False,True
M134,181.1,81.5,False,True
M092,187.7,87.3,False,True
M447,179.3,76.1,False,True
M013,172.8,58.0,False,True
F174,160.4,60.5,True,False
F259,161.0,71.8,True,False
M141,177.0,74.0,False,True
M387,173.7,78.7,False,True
M315,172.9,78.6,False,True
F386,159.2,53.3,True,False
F423,153.6,54.8,True,False
F085,150.7,57.7,True,False
F124,157.8,56.4,True,False
M304,167.5,80.0,False,True
M067,183.1,79.5,False,True
F401,162.0,53.6,True,False
F115,161.4,56.8,True,False
F125,167.3,59.3,True,False
F428,152.4,55.3,True,False
M046,160.4,69.6,False,True
F420,159.9,68.4,True,False
F103,162.5,76.6,True,False
M071,172.7,67.3,False,True
F100,160.4,50.2,True,False
F347,163.8,65.0,True,False
M489,167.8,71.0,False,True
M422,171.9,64.1,False,True
M434,165.6,88.3,False,True
M367,169.2,72.2,False,True
M101,175.5,73.3,False,True
M118,175.1,65.4,False,True
F105,162.5,56.3,True,False
F020,153.3,58.5,True,False
F407,167.8,59.7,True,False
M376,163.8,68.5,False,True
F054,159.4,54.2,True,False
F053,156.4,73.4,True,False
F340,159.2,51.0,True,False
F178,156.1,65.8,True,False
M431,170.6,61.9,False,True
M378,173.2,92.7,False,True
M105,174.6,75.4,False,True
M342,168.6,97.4,False,True
F111,164.1,59.3,True,False
F437,160.5,52.5,True,False
F189,168.0,56.6,True,False
F455,151.5,66.1,True,False
F427,156.8,51.5,True,False
M155,174.9,86.3,False,True
M498,167.3,68.0,False,True
M165,172.8,68.6,False,True
F188,161.7,51.8,True,False
F406,144.4,42.5,True,False
M182,169.4,66.0,False,True
M423,168.1,67.3,False,True
M461,169.6,76.8,False,True
M190,175.4,92.4,False,True
F394,162.9,57.6,True,False
M457,163.1,73.9,False,True
F268,157.6,53.5,True,False
M045,170.3,70.9,False,True
F346,165.2,56.9,True,False
M437,168.1,56.6,False,True
F024,162.5,49.6,True,False
F012,154.0,53.0,True,False
M018,174.6,68.7,False,True
F267,161.3,55.2,True,False
M052,173.3,70.6,False,True
M263,175.4,87.4,False,True
M266,181.4,58.9,False,True
M379,163.1,66.6,False,True
F404,153.9,54.6,True,False
F233,155.0,61.8,True,False
F190,152.8,60.1,True,False
F30,152.2,45.1,True,False
M424,167.3,65.5,False,True
F335,155.3,56.8,True,False
M306,170.9,80.8,False,True
F018,163.4,48.0,True,False
F260,160.9,64.9,True,False
F032,159.8,63.3,True,False
F367,163.7,57.2,True,False
F232,160.2,52.3,True,False
M239,171.0,68.7,False,True
M441,182.4,75.6,False,True
M484,173.1,80.6,False,True
M095,172.8,65.8,False,True
F351,160.1,67.7,True,False
F442,159.4,60.2,True,False
M058,174.5,75.0,False,True
M336,164.7,62.5,False,True
F214,161.3,57.3,True,False
M137,165.8,79.6,False,True
F104,161.0,51.2,True,False
M065,176.1,91.2,False,True
F079,162.1,90.9,True,False
M300,170.4,56.9,False,True
F295,163.4,58.2,True,False
M307,173.8,73.8,False,True
F445,149.5,54.7,True,False
F164,159.6,52.5,True,False
F086,163.1,50.9,True,False
M236,173.4,75.8,False,True
F457,156.2,52.1,True,False
F199,161.4,46.7,True,False
F282,163.9,60.3,True,False
F247,158.0,51.9,True,False
F499,159.3,57.7,True,False
F128,169.3,60.8,True,False
M321,176.8,73.0,False,True
M031,170.3,70.5,False,True
M313,177.5,91.1,False,True
M098,168.6,70.8,False,True
F137,163.0,49.5,True,False
F127,155.3,47.3,True,False
F485,148.3,54.6,True,False
M199,177.7,83.9,False,True
F068,156.4,55.0,True,False
M186,180.9,78.3,False,True
M413,174.4,78.1,False,True
F380,151.9,57.8,True,False
F279,150.2,56.6,True,False
F057,161.6,65.0,True,False
F360,165.0,59.8,True,False
F206,166.9,54.2,True,False
M500,173.7,67.2,False,True
M337,174.8,70.4,False,True
M392,163.2,72.4,False,True
F274,169.6,53.7,True,False
F454,161.0,65.7,True,False
M217,171.1,81.1,False,True
F314,158.2,54.7,True,False
F352,160.2,58.9,True,False
M467,164.2,64.7,False,True
F160,160.6,42.5,True,False
F135,167.3,59.5,True,False
M401,169.9,67.6,False,True
F061,166.7,60.2,True,False
F364,161.7,59.5,True,False
M428,170.5,59.8,False,True
F153,158.1,45.3,True,False
F482,164.0,61.5,True,False
F410,152.6,60.2,True,False
M132,181.1,81.1,False,True
F331,156.3,43.0,True,False
F028,163.3,51.2,True,False
M312,171.6,70.2,False,True
M377,175.6,66.7,False,True
M311,172.2,61.8,False,True
F418,157.3,65.3,True,False
M057,169.0,75.0,False,True
M127,166.2,84.7,False,True
F049,158.4,49.0,True,False
F256,159.0,61.3,True,False
M331,171.6,98.5,False,True
M174,173.4,83.9,False,True
M259,161.1,89.3,False,True
M360,172.8,105.6,False,True
F165,157.3,49.8,True,False
F298,150.9,64.6,True,False
M110,175.4,87.7,False,True
M090,175.6,53.4,False,True
M411,169.6,75.6,False,True
F026,155.1,56.1,True,False
F138,163.7,60.0,True,False
F333,162.3,50.3,True,False
F266,157.6,58.4,True,False
M339,175.3,64.7,False,True
M465,159.5,66.7,False,True
F201,145.2,57.9,True,False
F126,164.9,53.0,True,False
M123,176.3,58.6,False,True
F191,150.5,57.4,True,False
F311,152.2,59.2,True,False
M264,173.3,68.1,False,True
M218,186.6,113.8,False,True
M229,175.7,72.5,False,True
M191,170.0,78.3,False,True
M443,171.5,69.0,False,True
M036,166.2,53.6,False,True
M485,159.1,59.8,False,True
F056,160.6,55.8,True,False
M410,171.0,65.3,False,True
F168,151.1,62.5,True,False
M397,163.1,67.0,False,True
F182,157.0,52.0,True,False
F025,160.8,48.3,True,False
M030,170.8,76.9,False,True
F059,166.7,62.8,True,False
M471,180.1,80.9,False,True
M343,163.2,75.9,False,True
M034,165.0,73.1,False,True
M192,179.5,83.2,False,True
F492,154.6,56.0,True,False
F294,158.0,47.8,True,False
M409,165.2,76.4,False,True
M210,176.4,103.9,False,True
F236,160.3,54.0,True,False
F036,168.4,47.4,True,False
M287,177.5,83.1,False,True
F448,166.9,49.3,True,False
M452,174.0,81.2,False,True
F375,148.3,63.2,True,False
F240,154.8,67.4,True,False
F048,166.3,58.8,True,False
M466,169.9,74.8,False,True
F385,160.5,64.7,True,False
F481,149.2,51.5,True,False
M468,168.8,80.9,False,True
M353,178.1,80.2,False,True
M238,166.8,69.8,False,True
F205,161.4,53.3,True,False
M356,179.3,81.7,False,True
M366,167.3,64.5,False,True
M022,180.3,82.1,False,True
M470,170.5,56.0,False,True
M333,174.8,88.2,False,True
M100,170.8,67.1,False,True
M469,168.5,68.6,False,True
M453,169.7,78.3,False,True
F163,162.9,50.9,True,False
M187,165.0,57.6,False,True
M206,173.6,68.1,False,True
M260,166.3,70.7,False,True
F122,155.8,55.1,True,False
F237,157.3,51.7,True,False
M194,169.0,75.0,False,True
F114,155.7,51.4,True,False
F432,153.2,61.3,True,False
F430,147.1,53.4,True,False
M255,178.6,83.3,False,True
M107,174.3,66.4,False,True
M285,177.3,78.1,False,True
F130,168.8,54.2,True,False
F064,159.6,50.1,True,False
F162,159.1,65.2,True,False
F414,157.8,52.0,True,False
M446,167.9,70.4,False,True
F218,162.4,44.2,True,False
M180,166.1,61.4,False,True
M346,171.1,83.4,False,True
M284,164.3,62.6,False,True
