모델번호,어깨너비,소매길이,가슴단면,상의총장,허리단면,엉덩이단면,허벅지단면,밑단단면,하의총장,밑위
F076,33.6,53.1,39.25,34.89999999999999,36.25,46.7,27.75,11.0,99.8,22.89999999999999
F152,35.0,53.0,46.25,37.5,37.4,47.25,29.5,11.9,99.9,28.10000000000001
F444,36.7,52.5,47.95,38.400000000000006,41.0,49.5,28.65,11.75,95.6,25.0
F443,33.4,50.3,42.8,36.0,37.9,43.55,25.7,10.7,93.5,23.0
M230,36.0,53.3,45.45,34.8,47.3,47.35,26.2,12.1,99.3,29.0
M171,44.5,56.8,49.7,42.20000000000002,39.6,49.2,30.65,13.55,107.1,30.39999999999999
F464,35.4,55.5,44.65,35.599999999999994,38.65,48.25,29.15,12.1,107.1,29.0
M316,36.6,55.2,46.9,35.80000000000001,42.55,46.25,26.25,12.5,101.6,27.099999999999994
M178,39.7,55.8,42.0,39.900000000000006,34.15,43.5,26.05,11.6,101.1,24.5
M026,39.4,56.1,45.6,37.5,41.45,45.2,27.3,12.15,100.9,27.10000000000001
F415,32.2,50.1,41.6,33.599999999999994,33.6,44.2,27.6,11.35,93.9,26.400000000000006
F060,34.8,50.4,47.0,38.0,37.65,49.85,29.3,12.0,96.0,27.5
M232,40.3,51.5,47.85,40.69999999999999,40.4,48.25,28.35,13.0,102.9,29.700000000000003
F373,34.1,51.0,44.2,33.8,40.3,46.3,28.8,12.65,92.4,27.30000000000001
M102,42.1,53.4,49.0,40.099999999999994,46.7,49.35,29.85,13.3,101.9,28.5
M347,41.8,54.2,49.55,42.20000000000002,42.9,50.05,29.15,12.3,103.6,33.099999999999994
M405,40.5,53.0,50.3,39.7,45.05,47.65,27.7,13.4,102.8,31.200000000000003
M043,39.5,58.0,40.3,38.400000000000006,34.45,42.5,25.0,12.5,109.5,26.400000000000006
M211,41.0,57.9,44.05,38.69999999999999,38.7,46.0,26.8,12.5,110.9,27.400000000000006
M495,38.6,54.5,49.1,41.0,46.55,49.7,28.2,12.5,97.0,26.599999999999994
M201,40.6,24.1,47.6,35.89999999999999,41.5,47.0,48.7,12.55,98.3,27.099999999999994
M146,39.3,55.9,47.0,42.0,45.05,49.0,29.65,12.7,108.1,29.299999999999997
F043,33.5,48.0,42.15,32.599999999999994,34.45,44.0,26.6,11.0,95.0,29.200000000000003
F041,33.9,50.8,41.85,35.599999999999994,33.0,47.3,27.15,11.35,94.5,27.5
M407,36.8,55.6,46.6,42.8,39.05,46.4,46.55,13.4,102.3,26.599999999999994
F203,33.3,53.5,46.1,36.79999999999998,39.7,47.0,28.75,11.8,98.4,26.900000000000006
F325,35.1,51.5,44.05,35.599999999999994,37.7,49.95,29.25,13.2,97.0,30.599999999999994
M050,39.6,50.1,43.8,40.10000000000001,37.05,44.55,26.85,12.65,97.2,27.799999999999997
F246,35.8,52.0,46.15,35.19999999999999,37.75,49.2,28.4,11.75,97.5,30.900000000000006
F315,33.2,46.8,51.95,37.3,46.7,50.5,31.8,12.3,89.4,27.10000000000001
M462,39.3,52.2,46.5,35.89999999999999,42.0,48.0,26.0,13.4,103.7,31.10000000000001
M016,39.4,56.8,45.85,34.900000000000006,41.35,50.05,29.7,12.45,107.6,30.19999999999999
F120,35.9,53.0,43.8,33.5,34.0,44.3,25.7,11.0,99.5,27.0
M064,39.4,52.4,43.0,36.10000000000001,39.45,45.7,27.4,12.15,99.7,26.900000000000006
F088,33.5,50.5,49.8,35.0,40.5,45.75,26.9,11.45,92.5,27.599999999999994
M449,40.3,56.4,49.1,42.400000000000006,43.55,48.9,27.7,14.1,108.4,31.80000000000001
M403,41.9,54.1,53.15,43.10000000000001,42.7,48.6,30.3,13.85,101.8,30.099999999999994
F093,37.4,56.8,41.8,36.500000000000014,34.7,48.25,27.6,12.75,108.3,30.89999999999999
F226,33.3,52.1,43.5,37.7,38.75,46.3,24.65,11.75,101.3,28.799999999999997
M166,40.7,58.0,48.75,41.2,44.85,48.65,29.5,13.5,110.3,31.200000000000003
F353,33.9,54.1,45.75,36.5,44.4,47.8,27.25,12.35,98.9,28.5
M288,38.7,51.6,50.15,37.500000000000014,44.0,48.2,28.35,12.2,101.8,29.39999999999999
M160,39.5,52.7,43.5,36.8,38.55,44.85,26.3,12.85,100.7,27.400000000000006
F381,32.2,47.4,44.15,35.60000000000001,37.4,43.7,24.7,10.9,90.8,27.4
F011,34.4,52.0,41.1,35.400000000000006,34.35,45.95,26.75,12.25,100.6,30.5
F112,34.7,52.7,43.25,35.3,37.5,46.5,27.65,11.4,95.3,27.799999999999997
F376,38.1,54.0,48.5,40.3,41.75,49.25,28.9,12.0,100.8,28.200000000000003
M426,38.7,55.5,48.6,40.599999999999994,45.1,46.4,46.85,13.35,102.6,30.5
F270,35.0,52.1,38.35,36.80000000000001,31.5,41.7,24.85,10.9,96.5,22.799999999999997
F219,33.7,49.0,47.0,37.5,40.0,46.4,26.25,11.55,90.6,26.39999999999999
F277,33.5,49.7,46.5,35.0,39.55,44.4,25.95,12.0,91.7,24.700000000000003
F014,35.8,54.8,40.5,38.19999999999999,34.25,44.5,26.1,12.35,96.5,28.099999999999994
F065,35.3,52.5,50.6,39.19999999999999,45.4,49.15,27.9,12.1,97.0,28.599999999999994
M195,37.7,49.8,44.35,36.8,38.9,43.75,26.7,11.75,93.2,26.700000000000003
M374,37.9,52.7,44.8,41.89999999999999,41.05,46.8,26.15,12.8,101.3,29.0
M362,40.1,54.9,49.05,42.099999999999994,43.8,45.95,26.6,12.6,103.4,27.200000000000003
F450,33.3,50.6,42.9,32.79999999999998,40.35,46.8,27.0,12.25,96.9,30.0
F108,36.8,51.2,45.85,35.10000000000001,38.75,47.15,28.15,12.0,97.3,28.5
M112,40.1,53.1,47.75,39.5,45.2,45.15,25.45,12.85,96.5,25.299999999999997
F215,34.1,51.5,40.0,38.19999999999999,30.6,43.05,24.1,11.45,101.0,26.799999999999997
M019,38.9,53.4,45.55,40.60000000000001,41.1,45.3,25.05,11.65,96.7,24.299999999999997
